1
(-966,-51,0)
(-68,-44,0)
(-945,16,0)
(-92,15,0)
(-931,-118,0)
(-92,-100,0)
(-874,-162,1)
(-814,-187,1)
(-755,-206,1)
(-881,68,1)
(-823,96,1)
(-765,117,1)
(-152,-151,1)
(-157,65,1)
(-204,-176,1)
(-201,88,1)
(-261,-198,1)
(-253,111,1)
(-737,-139,2)
(-685,-130,2)
(-634,-114,2)
(-598,-83,2)
(-581,-44,2)
(-602,-2,2)
(-636,29,2)
(-680,44,2)
(-740,54,2)
(-680,-225,4)
(-597,-232,4)
(-511,-235,4)
(-433,-233,4)
(-347,-223,4)
(-689,133,4)
(-595,142,4)
(-515,145,4)
(-428,143,4)
(-344,133,4)
(-450,-138,3)
(-379,-119,3)
(-320,-87,3)
(-298,-38,3)
(-321,9,3)
(-378,35,3)
(-452,52,3)
(-553,-131,7)
(-549,47,7)
(-453,-47,9)
(-843,-176,1)
(-784,-198,1)
(-723,-212,1)
(-850,84,1)
(-796,107,1)
(-739,122,1)
(-290,-206,1)
(-230,-187,1)
(-178,-165,1)
(-177,78,1)
(-225,100,1)
(-281,118,1)
(-915,-136,0)
(-899,-151,0)
(-928,37,0)
(-907,54,0)
(-965,-27,0)
(-954,-4,0)
(-950,-97,0)
(-961,-73,0)
(-123,-133,0)
(-104,-115,0)
(-83,-81,0)
(-75,-63,0)
(-74,-24,0)
(-79,-5,0)
(-111,31,0)
(-128,47,0)
(-746,-55,10)
(-199,-52,10)
