0
(45, 118, 0)
(72, 152, 0)
(485, 152, 0)
(601, 151, 0)
(753, 152, 0)
(904, 151, 0)
(113, 98, 0)
(178, 74, 0)
(244, 41, 0)
(305, -3, 0)
(360, -45, 0)
(416, -87, 0)
(474, -127, 0)
(542, -157, 0)
(607, -173, 0)
(676, -170, 0)
(743, -152, 0)
(799, -115, 0)
(843, -61, 0)
(878, 0, 0)
(903, 67, 0)
(831, 154, 0)
(711, 89, 0)
(643, 95, 0)
(542, 150, 0)
(129, 149, 0)
(197, 137, 0)
(259, 108, 0)
(324, 84, 0)
(389, 70, 0)
(447, 87, 0)
(526, -55, 1)
(541, 3, 1)
(541, 64, 1)
(607, -112, 1)
(662, -72, 1)
(672, -6, 1)
(608, 35, 1)
(463, -32, 2)
