0
(41, 0, 2)
(93, -43, 2)
(156, -81, 2)
(229, -118, 2)
(301, -150, 2)
(94, 52, 2)
(158, 90, 2)
(226, 126, 2)
(300, 148, 2)
(304, -69, 2)
(305, 7, 2)
(307, 81, 2)
(186, -2, 0)
(379, 6, 1)
(450, 3, 1)
(518, 1, 1)
(585, 2, 1)
(649, 0, 1)
(713, -2, 1)
(779, 2, 1)
(410, -63, 3)
(462, -109, 3)
(412, 67, 3)
(462, 117, 3)
(531, -55, 3)
(567, -95, 3)
(526, 56, 3)
(567, 93, 3)
(661, -67, 3)
(667, 65, 3)
(819, -36, 5)
(875, -65, 5)
(928, -91, 5)
(822, 36, 5)
(874, 61, 5)
(932, 84, 5)
(928, -2, 5)
