1
(-100, 121, 1)
(-116, 156, 1)
(-533, 155, 1)
(-646, 153, 1)
(-805, 151, 1)
(-950, 153, 1)
(-958, 92, 1)
(-939, 19, 1)
(-910, -41, 1)
(-865, -105, 1)
(-819, -145, 1)
(-759, -164, 1)
(-690, -175, 1)
(-622, -168, 1)
(-560, -141, 1)
(-499, -114, 1)
(-445, -77, 1)
(-401, -36, 1)
(-350, 7, 1)
(-287, 42, 1)
(-226, 81, 1)
(-151, 101, 1)
(-584, 154, 1)
(-775, 97, 1)
(-710, 82, 1)
(-670, 112, 1)
(-472, 79, 1)
(-420, 72, 1)
(-366, 88, 1)
(-303, 114, 1)
(-246, 140, 1)
(-178, 152, 1)
(-507, 106, 1)
(-882, 154, 1)
(-647, -119, 2)
(-692, -73, 2)
(-696, -12, 2)
(-644, 34, 2)
(-587, 62, 2)
(-568, -8, 2)
(-554, -66, 2)
(-482, -29, 0)
