0
(34,-51,0)
(932,-44,0)
(55,16,0)
(908,15,0)
(69,-118,0)
(908,-100,0)
(126,-162,1)
(186,-187,1)
(245,-206,1)
(119,68,1)
(177,96,1)
(235,117,1)
(848,-151,1)
(843,65,1)
(796,-176,1)
(799,88,1)
(739,-198,1)
(747,111,1)
(263,-139,2)
(315,-130,2)
(366,-114,2)
(402,-83,2)
(419,-44,2)
(398,-2,2)
(364,29,2)
(320,44,2)
(260,54,2)
(320,-225,4)
(403,-232,4)
(489,-235,4)
(567,-233,4)
(653,-223,4)
(311,133,4)
(405,142,4)
(485,145,4)
(572,143,4)
(656,133,4)
(550,-138,3)
(621,-119,3)
(680,-87,3)
(702,-38,3)
(679,9,3)
(622,35,3)
(548,52,3)
(447,-131,7)
(451,47,7)
(547,-47,9)
(157,-176,1)
(216,-198,1)
(277,-212,1)
(150,84,1)
(204,107,1)
(261,122,1)
(710,-206,1)
(770,-187,1)
(822,-165,1)
(823,78,1)
(775,100,1)
(719,118,1)
(85,-136,0)
(101,-151,0)
(72,37,0)
(93,54,0)
(35,-27,0)
(46,-4,0)
(50,-97,0)
(39,-73,0)
(877,-133,0)
(896,-115,0)
(917,-81,0)
(925,-63,0)
(926,-24,0)
(921,-5,0)
(889,31,0)
(872,47,0)
(254,-55,10)
(801,-52,10)
