1
(-55, 5, 0)
(-96, -42, 0)
(-146, -82, 0)
(-265, -129, 0)
(-335, -151, 0)
(-207, -109, 0)
(-334, -83, 0)
(-338, -9, 0)
(-333, 71, 0)
(-332, 144, 0)
(-267, 125, 0)
(-205, 101, 0)
(-150, 75, 0)
(-95, 46, 0)
(-221, -5, 1)
(-414, -1, 2)
(-490, -1, 2)
(-563, 0, 2)
(-638, 1, 2)
(-706, 1, 2)
(-771, 3, 2)
(-442, -60, 1)
(-489, -102, 1)
(-445, 65, 1)
(-478, 111, 1)
(-548, 54, 1)
(-590, 91, 1)
(-550, -42, 1)
(-594, -88, 1)
(-706, 70, 1)
(-700, -61, 1)
(-844, -25, 3)
(-842, 35, 3)
(-889, -56, 3)
(-950, -66, 3)
(-956, 83, 3)
(-895, 64, 3)
(-956, 4, 3)
